立委,行程日期,開始時間（選填）,結束時間（選填）,行程分類,行程名稱,行程敘述（選填）,相關連結（選填）,行程地點,媒體類型（選填）,媒體連結（選填）
蔣萬安,2017-01-21,,,地方事務,松山區安平市場拜年,,,台北市松山區,,
蔣萬安,2017-01-19,,,地方事務,公園拜年,,,,,
蔣萬安,2017-01-19,,,媒體公關,東森財經台【57人才論壇】錄影,,,台北市,,
蔣萬安,2017-01-16,,,地方事務,「新春揮毫贈春聯」活動,,,台北市中山區,,
蔣萬安,2017-01-15,,,媒體公關,2017台北醫學大學第一屆醫療論壇,,,台北市信義區,,
蔣萬安,2017-01-15,,,地方事務,下埤公園、大直市場拜年,,,台北市中山區,,
蔣萬安,2017-01-10,,,媒體公關,「ETtoday新聞雲」《雲端最前線》訪問,,,台北市,,
蔣萬安,2017-01-08,,,地方事務,濱江市場拜年,,,台北市中山區,,
蔣萬安,2017-01-06,,,地方事務,民生公園拜年,,,台北市松山區,,
蔣萬安,2017-01-04,,,媒體公關,「長照2.0草率上路 空殼升級 罩不到、用不到？！」記者會,和李彥秀委員、孫立群執行長一同召開,,,,
蔣萬安,2016-12-29,14:30:49,14:55:17,國會事務,立法院第9屆第2會期社會福利及衛生環境委員會第24次全體委員會議,事由：邀請勞動部及行政院公共工程委員會就「因應大溪高中重大職災事件，三名死亡工作者未參加勞保，可能被認定為非職災事故。然而另二名死亡工作者則因有加入勞保而可認定為職災，造成同一工作場所事故卻同時存在職災與非職災的案例。爰就未加勞保勞工不幸發生職業災害，如何才能領取職業災害勞工保護法法定職災補助？我國職災勞工保護法施行成效及勞動部如何落實職災勞工保障」列席報告，並備質詢。,,立法院,,
蔣萬安,2016-12-26,,,媒體公關,「2017台灣產業人才論壇」,1111人力銀行舉辦,,,,
蔣萬安,2016-12-25,,,國會事務,《日本核災後食品風險危害評估及管理及茨城、栃木、千葉、群馬食品開放與否公聽會》,行政院舉辦,,,,
蔣萬安,2016-12-24,,,地方事務,「聖誕平安夜」一起反核食，救孩子（在長春市場）,,,台北市中山區,,
