立委,行程日期,開始時間（選填）,結束時間（選填）,行程分類,行程名稱,行程敘述（選填）,相關連結（選填）,行程地點,媒體類型（選填）,媒體連結（選填）
蔣萬安,2016-12-22,11:38:55,11:54:41,國會事務,立法院第9屆第2會期社會福利及衛生環境委員會第23次全體委員會議,事由：審查（一）本院委員鍾孔炤等18人擬具「勞資爭議處理法第六條條文修正草案」、（二）委員林德福等24人擬具「勞資爭議處理法第六十五條條文修正草案」、（三）時代力量黨團擬具「勞資爭議處理法第四十三條條文修正草案」等3案。,,立法院,,
蔣萬安,2016-12-21,12:10:03,12:22:42,國會事務,立法院第9屆第2會期經濟、社會福利及衛生環境兩委員會第1次聯席會議,事由：一、併案審查行政院函請審議、本院委員黃昭順等21人擬具「生技新藥產業發展條例第三條條文修正草案」及委員張麗善等27人擬具「生技新藥產業發展條例第三條及第八條之一條文修正草案」案。 二、審查本院委員曾銘宗等20人擬具「生技新藥產業發展條例第十條、第十一條及第十一條之一條文修正草案」案。,,立法院,,
蔣萬安,2016-12-21,11:28:08,11:48:27,國會事務,立法院第9屆第2會期社會福利及衛生環境、財政二委員會第1次聯席會議,事由：審查（一）行政院函請審議「長期照顧服務法部分條文修正草案」案、（二）本院委員顏寬恒等16人擬具「長期照顧服務法部分條文修正草案」等2案。,,立法院,,
蔣萬安,2016-12-18,,,地方事務,「聖誕佳節親子聯歡活動」,松山區富泰里舉辦,,台北市松山區,,
蔣萬安,2016-12-15,11:14:29,11:41:30,國會事務,立法院第9屆第2會期社會福利及衛生環境委員會第21次全體委員會議,事由：邀請勞動部、交通部、原住民族委員會、行政院公共工程委員會、內政部營建署、內政部移民署、內政部警政署、經濟部工業局就「影響原住民族勞動權益專案報告─政府部門對原住民勞動條件、就業服務、職業訓練及職業災害等相關措施檢討；引進外籍勞工對原住民就業權益及勞動條件之影響；政府如何保障原住民勞動權益進而提升原住民勞工福祉」列席報告，並備質詢。,,立法院,,
蔣萬安,2016-12-15,20:00:00,21:00:00,媒體公關,Yahoo直播「巧芯聊風向」,,,,,
蔣萬安,2016-12-13,,,地方事務,「拒絕核食 全民公投」台北車站連署,,,台北市中正區,,
蔣萬安,2016-12-11,,,地方事務,「人間有愛。臘八傳情」活動,國際佛光會中山第五分會及中山區朱馥里舉辦,,台北市中山區,,
蔣萬安,2016-12-10,,,地方事務,「拒絕核食 全民公投」濱江市場連署,,,台北市中山區,,
蔣萬安,2016-12-09,,,國會事務,「身心障礙者權益保障法」第十四條修法公聽會,,,,,
蔣萬安,2016-12-08,10:18:05,10:32:55,國會事務,立法院第9屆第2會期社會福利及衛生環境委員會第20次全體委員會議,事由：邀請行政院環境保護署署長就「建構綠能永續新世代垃圾處理計畫（焚化爐延役相關計畫）」列席報告，並備質詢。）,,立法院,,
蔣萬安,2016-12-07,10:27:09,10:42:11,國會事務,立法院第9屆第2會期社會福利及衛生環境委員會第19次全體委員會議,事由：一、審查(一)本院民進黨黨團擬具「全民健康保險法第二十七條及第一百零四條條文修正草案」、(二) 親民黨黨團擬具「全民健康保險法第九條、第十條及第二十七條條文修正草案」等2案。二、審查本院委員吳玉琴等18人擬具「口腔健康法部分條文修正草案」案。三、審查(一)行政院函請審議「助產人員法部分條文修正草案」、(二)委員王育敏等16人擬具「助產人員法第十二條、第十二條之一及第三十五條條文修正草案」、(三)委員顏寬恒等17人擬具「助產人員法第四條、第十二條及第四十五條條文修正草案」等3案。,,立法院,,
蔣萬安,2016-12-06,19:25:25,19:29:05,國會事務,立法院第9屆第2會期第13次會議（院會）,事由：一、2日上午9時至10時進行國是論壇。二、討論事項：詳見議事日程。三、6日下午5時至6時處理臨時提案。,,立法院,,
蔣萬安,2016-12-06,,,國會事務,《公司法》全盤修正公聽會－「公司全面數位登記 可行嗎？」,,,立法院,,
蔣萬安,2016-12-04,,,地方事務,「拒絕核食 全民公投」草埔市場連署,,,台北市松山區,,
